generation,maximum fitness,mean fitness,quality diversity score,coverage,function calls,max_err,mse,mae
27,1.0,0.47205241814028853,28.323145088417313,40.0,961,0.02187448914613732,0.00014569372925959378,0.010841856274162074
28,1.0,0.47389754050431987,28.433852430259194,40.0,993,0.04979364631901129,0.000282394143261136,0.012473597314517165
29,1.0,0.47441837383765323,28.465102430259194,40.0,1017,0.027933114399321612,0.0002168006626483177,0.01246139560221098
30,1.0,0.4762813847302693,28.57688308381616,40.0,1050,0.06102609928030023,0.00021865789094934973,0.009459706563791142
31,1.0,0.4776795460543327,28.660772763259963,40.0,1076,0.03853455367004516,0.00023851011183940256,0.011375319008998378
32,1.0,0.47944522262198946,28.766713357319368,40.0,1113,0.036067014264610286,0.00021367900057340543,0.011411464843446453
33,1.0,0.4819753800863575,28.91852280518145,40.0,1141,0.021571492791979785,0.00011835792787601649,0.008881108184961635
34,1.0,0.4836735988474172,29.02041593084503,40.0,1174,0.045569591639479545,0.00018539862702313288,0.009553743047116595
35,1.0,0.48419180993276595,29.051508595965956,40.0,1203,0.056295877389059557,0.000349749765351012,0.013395295509038263
36,1.0,0.48483973762353827,29.090384257412296,40.0,1236,0.036585525919422546,0.00012123934154185668,0.008306445067375916
37,1.0,0.47711933617640956,29.581398842937393,41.333333333333336,1275,0.0539952702437857,0.00027000893901928406,0.011945781991998335
38,1.0,0.4756252511402577,29.964390821836236,42.0,1318,0.04860876016707305,0.00016857420285261364,0.009802013059708093
39,1.0,0.47097772117764003,30.142574155368962,42.66666666666667,1352,0.018231357670776882,7.734794937607457e-05,0.006978247949484347
40,1.0,0.46212274949754106,30.96222421633525,44.666666666666664,1388,0.0442980191224851,0.0002621928704102155,0.010620511769438738
41,1.0,0.4582296213484715,31.159614251696063,45.33333333333333,1421,0.03317011510809123,0.00012692387813719778,0.008429067727761379
42,1.0,0.45673736475392734,31.51487816802099,46.0,1461,0.05111818410347713,0.00018561841029292583,0.008648567326488837
43,1.0,0.45236518713611196,31.665563099527837,46.666666666666664,1499,0.04410729909599426,0.0001612468618404421,0.009278608269416838
44,1.0,0.45305398298938154,31.71377880925671,46.666666666666664,1534,0.05044042355619979,0.00021319923745882345,0.01110226538046064
45,1.0,0.45312743342218625,31.718920339553037,46.666666666666664,1563,0.031452873181097074,0.0001654730188448884,0.010100176121146234
46,1.0,0.45375212687323435,31.762648881126406,46.666666666666664,1598,0.029931266209375473,0.00014546812494185693,0.009796008468079983
47,1.0,0.45470888238209867,31.829621766746907,46.666666666666664,1629,0.03673359894669459,0.00015569298488208856,0.008798743020301638
48,1.0,0.45126382372697527,32.039731484615245,47.333333333333336,1666,0.03771507066654278,0.00012266547769450287,0.008265461209088902
49,1.0,0.4516072604492046,32.064115491893524,47.333333333333336,1701,0.04262148032495927,0.00015874351849139054,0.00884559067525747
50,1.0,0.448300040694716,32.277602930019555,48.0,1730,0.039360945935127845,0.0002472776446519711,0.011757573361165658
51,1.0,0.44967751306500836,32.376780940680604,48.0,1759,0.03693875678285713,0.00025008758499996976,0.01260412099635254
